model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
gpt-5.2_stats-prompt,0.50387,0.41071,0.22656,0.58898,0.39754,0.861
gpt-4o_one-shot-CoT,0.48667,0.67857,0.25781,0.28814,0.32787,0.91892
gpt-4o_zero-shot,0.44282,0.625,0.19531,0.25,0.31557,0.86486
gpt-4_one-shot-CoT,0.47463,0.67262,0.30078,0.41949,0.11066,0.9112
gpt-3.5-turbo_one-shot,0.40757,0.53571,0.125,0.27542,0.2623,0.861
gpt-5.2-one-shot-CoT,0.40413,0.375,0.15625,0.32627,0.30738,0.83012
gpt-4o_one-shot,0.49355,0.69048,0.26562,0.30932,0.34426,0.89961
gpt-5.2-zero-shot,0.27343,0.30357,0.07812,0.19492,0.11475,0.66795
gpt-4o_stats-prompt,0.64832,0.6131,0.65234,0.59322,0.46311,0.89189
gpt-3.5-turbo_zero-shot,0.37403,0.47024,0.3125,0.26271,0.12705,0.70656
gpt-4_zero-shot-CoT,0.43336,0.67857,0.23438,0.46186,0.01639,0.83784
gpt-3.5-turbo_stats-prompt,0.49355,0.625,0.35547,0.38983,0.2623,0.85714
gpt-5.2-one-shot,0.37317,0.35119,0.10938,0.26271,0.29098,0.82625
gpt-3.5-turbo_zero-shot-CoT,0.38177,0.45238,0.33594,0.25847,0.13934,0.72201
gpt-5.2-zero-shot-CoT,0.27687,0.30357,0.08203,0.20763,0.13525,0.64865
gpt-4_stats-prompt,0.53224,0.64881,0.4375,0.49576,0.20082,0.89575
gpt-3.5-turbo_one-shot-CoT,0.39639,0.51786,0.10938,0.26695,0.2623,0.84556
gpt-4_zero-shot,0.4239,0.66667,0.20703,0.45763,0.02459,0.82625
gpt-4_one-shot,0.47979,0.67857,0.26562,0.44068,0.14754,0.9112
gpt-4o_zero-shot-CoT,0.44712,0.63095,0.20703,0.24576,0.32377,0.86486
