name,path,description,source,columns,n_rows,suitable_for
duncan_prestige,Data/External Dataset/Origin/duncan_prestige.csv,Duncan's occupational prestige data with income and education,statsmodels/carData,"['rownames', 'type', 'income', 'education', 'prestige']",45,"['regression', 'correlation', 'outlier_detection']"
longley_economic,Data/External Dataset/Origin/longley_economic.csv,Longley economic data with high multicollinearity,statsmodels,"['TOTEMP', 'GNPDEFL', 'GNP', 'UNEMP', 'ARMED', 'POP', 'YEAR']",16,"['regression', 'multicollinearity']"
grunfeld_investment,Data/External Dataset/Origin/grunfeld_investment.csv,Grunfeld investment data for firms over time,statsmodels,"['invest', 'value', 'capital', 'firm', 'year']",220,"['regression', 'clustered_data']"
stackloss,Data/External Dataset/Origin/stackloss.csv,Stack loss data from a chemical plant,statsmodels,"['STACKLOSS', 'AIRFLOW', 'WATERTEMP', 'ACIDCONC']",21,"['regression', 'outliers']"
copper,Data/External Dataset/Origin/copper.csv,Copper concentrations in different locations,statsmodels,"['WORLDCONSUMPTION', 'COPPERPRICE', 'INCOMEINDEX', 'ALUMPRICE', 'INVENTORYINDEX', 'TIME']",25,"['anova', 'variance_test']"
engel_food,Data/External Dataset/Origin/engel_food.csv,Belgian household food expenditure data,statsmodels,"['income', 'foodexp']",235,"['regression', 'heteroscedasticity']"
star98_schools,Data/External Dataset/Origin/star98_schools.csv,California schools test score data,statsmodels,"['NABOVE', 'NBELOW', 'LOWINC', 'PERASIAN', 'PERBLACK', 'PERHISP', 'PERMINTE', 'AVYRSEXP', 'AVSALK', 'PERSPENK', 'PTRATIO', 'PCTAF', 'PCTCHRT', 'PCTYRRND', 'PERMINTE_AVYRSEXP', 'PERMINTE_AVSAL', 'AVYRSEXP_AVSAL', 'PERSPEN_PTRATIO', 'PERSPEN_PCTAF', 'PTRATIO_PCTAF', 'PERMINTE_AVYRSEXP_AVSAL', 'PERSPEN_PTRATIO_PCTAF']",303,"['regression', 'multiple_predictors']"
iris,Data/External Dataset/Origin/iris.csv,Iris flower measurements with species,sklearn,"['sepal length (cm)', 'sepal width (cm)', 'petal length (cm)', 'petal width (cm)', 'target']",150,"['anova', 'group_comparison', 'multivariate']"
wine,Data/External Dataset/Origin/wine.csv,Wine chemical analysis with cultivar type,sklearn,"['alcohol', 'malic_acid', 'ash', 'alcalinity_of_ash', 'magnesium', 'total_phenols', 'flavanoids', 'nonflavanoid_phenols', 'proanthocyanins', 'color_intensity', 'hue', 'od280/od315_of_diluted_wines', 'proline', 'target']",178,"['anova', 'group_comparison', 'correlation']"
diabetes,Data/External Dataset/Origin/diabetes.csv,Diabetes progression data with clinical measurements,sklearn,"['age', 'sex', 'bmi', 'bp', 's1', 's2', 's3', 's4', 's5', 's6', 'target']",442,"['regression', 'multiple_predictors']"
breast_cancer,Data/External Dataset/Origin/breast_cancer.csv,Breast cancer diagnosis data,sklearn,"['mean radius', 'mean texture', 'mean perimeter', 'mean area', 'mean smoothness', 'mean compactness', 'mean concavity', 'mean concave points', 'mean symmetry', 'mean fractal dimension', 'radius error', 'texture error', 'perimeter error', 'area error', 'smoothness error', 'compactness error', 'concavity error', 'concave points error', 'symmetry error', 'fractal dimension error', 'worst radius', 'worst texture', 'worst perimeter', 'worst area', 'worst smoothness', 'worst compactness', 'worst concavity', 'worst concave points', 'worst symmetry', 'worst fractal dimension', 'target']",569,"['group_comparison', 'contingency_table']"
