rownames,type,income,education,prestige,subject_id,condition
accountant,prof,62,86,82,0,condition_A
pilot,prof,72,76,83,0,condition_B
architect,prof,75,92,90,1,condition_A
author,prof,55,90,76,1,condition_B
chemist,prof,64,86,90,2,condition_A
minister,prof,21,84,87,2,condition_B
professor,prof,64,93,93,3,condition_A
dentist,prof,80,100,90,3,condition_B
reporter,wc,67,87,52,4,condition_A
engineer,prof,72,86,88,4,condition_B
undertaker,prof,42,74,57,5,condition_A
lawyer,prof,76,98,89,5,condition_B
physician,prof,76,97,97,6,condition_A
welfare.worker,prof,41,84,59,6,condition_B
teacher,prof,48,91,73,7,condition_A
conductor,wc,76,34,38,7,condition_B
contractor,prof,53,45,76,8,condition_A
factory.owner,prof,60,56,81,8,condition_B
store.manager,prof,42,44,45,9,condition_A
banker,prof,78,82,92,9,condition_B
bookkeeper,wc,29,72,39,10,condition_A
mail.carrier,wc,48,55,34,10,condition_B
insurance.agent,wc,55,71,41,11,condition_A
store.clerk,wc,29,50,16,11,condition_B
carpenter,bc,21,23,33,12,condition_A
electrician,bc,47,39,53,12,condition_B
RR.engineer,bc,81,28,67,13,condition_A
machinist,bc,36,32,57,13,condition_B
auto.repairman,bc,22,22,26,14,condition_A
plumber,bc,44,25,29,14,condition_B
gas.stn.attendant,bc,15,29,10,15,condition_A
coal.miner,bc,7,7,15,15,condition_B
streetcar.motorman,bc,42,26,19,16,condition_A
taxi.driver,bc,9,19,10,16,condition_B
truck.driver,bc,21,15,13,17,condition_A
machine.operator,bc,21,20,24,17,condition_B
barber,bc,16,26,20,18,condition_A
bartender,bc,16,28,7,18,condition_B
shoe.shiner,bc,9,17,3,19,condition_A
cook,bc,14,22,16,19,condition_B
soda.clerk,bc,12,30,6,20,condition_A
watchman,bc,17,25,11,20,condition_B
janitor,bc,7,20,8,21,condition_A
policeman,bc,34,47,41,21,condition_B
